TIMESTAMP,solar_TIMESTAMP,UZB_YAN_DIS_Ean_Jt_1,UZB_YAN_DIS_Ean_Jt_2,UZB_YAN_DIS_Peu_Jt_3,UZB_YAN_DIS_Peu_Jt_4
2012-12-31T19:00:00Z,2012-12-31T22:58:00Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2012-12-31T19:30:00Z,2012-12-31T23:28:00Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2012-12-31T20:00:00Z,2012-12-31T23:57:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2012-12-31T20:30:00Z,2013-01-01T00:27:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2012-12-31T21:00:00Z,2013-01-01T00:57:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2012-12-31T21:30:00Z,2013-01-01T01:27:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2012-12-31T22:00:00Z,2013-01-01T01:57:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2012-12-31T22:30:00Z,2013-01-01T02:27:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2012-12-31T23:00:00Z,2013-01-01T02:57:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2012-12-31T23:30:00Z,2013-01-01T03:27:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2013-01-01T00:00:00Z,2013-01-01T03:57:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2013-01-01T00:30:00Z,2013-01-01T04:27:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2013-01-01T01:00:00Z,2013-01-01T04:57:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2013-01-01T01:30:00Z,2013-01-01T05:27:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2013-01-01T02:00:00Z,2013-01-01T05:57:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2013-01-01T02:30:00Z,2013-01-01T06:27:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2013-01-01T03:00:00Z,2013-01-01T06:57:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2013-01-01T03:30:00Z,2013-01-01T07:27:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2013-01-01T04:00:00Z,2013-01-01T07:57:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2013-01-01T04:30:00Z,2013-01-01T08:27:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2013-01-01T05:00:00Z,2013-01-01T08:57:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2013-01-01T05:30:00Z,2013-01-01T09:27:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2013-01-01T06:00:00Z,2013-01-01T09:57:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2013-01-01T06:30:00Z,2013-01-01T10:27:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2013-01-01T07:00:00Z,2013-01-01T10:57:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2013-01-01T07:30:00Z,2013-01-01T11:27:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2013-01-01T08:00:00Z,2013-01-01T11:57:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2013-01-01T08:30:00Z,2013-01-01T12:27:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2013-01-01T09:00:00Z,2013-01-01T12:57:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2013-01-01T09:30:00Z,2013-01-01T13:27:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2013-01-01T10:00:00Z,2013-01-01T13:57:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2013-01-01T10:30:00Z,2013-01-01T14:27:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2013-01-01T11:00:00Z,2013-01-01T14:57:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2013-01-01T11:30:00Z,2013-01-01T15:27:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2013-01-01T12:00:00Z,2013-01-01T15:57:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2013-01-01T12:30:00Z,2013-01-01T16:27:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
2013-01-01T13:00:00Z,2013-01-01T16:57:54Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED
