TIMESTAMP,solar_TIMESTAMP,ta,vpd,sw_in,ws,precip,ppfd_in,rh,ext_rad
2006-06-20T01:00:00Z,2006-06-20T10:54:42Z,10.8,0,75,0,0,158.54999999999998,100,600.3681785362968
2006-06-20T01:30:00Z,2006-06-20T11:24:42Z,11.5,0,47,0,0,99.35799999999999,100,628.5662906146656
2006-06-20T02:00:00Z,2006-06-20T11:54:42Z,12,0,47,0,0,99.35799999999999,100,640.5252666108211
2006-06-20T02:30:00Z,2006-06-20T12:24:42Z,13.4,0.13060127734399993,104,0,0,219.856,91.50415734629898,636.0405468802292
2006-06-20T03:00:00Z,2006-06-20T12:54:42Z,14.6,0.34708425795200004,170,0.1,0,359.38,79.11327301936466,615.1888429406141
2006-06-20T03:30:00Z,2006-06-20T13:24:42Z,14.1,0.304639193952,151,0.1,0,319.214,81.06454952490363,578.3268253169902
2006-06-20T04:00:00Z,2006-06-20T13:54:42Z,14.8,0.3647297614400001,85,0,0,179.69,78.33292213587734,526.0850226584661
2006-06-20T04:30:00Z,2006-06-20T14:24:42Z,14.6,0.24394129450400007,132,0,0,279.048,85.32017773530818,459.3570364828785
2006-06-20T05:00:00Z,2006-06-20T14:54:42Z,13.6,0.15069908996799997,75,0,0,158.54999999999998,90.32368015105024,379.2842560321944
2006-06-20T05:30:00Z,2006-06-20T15:24:42Z,12.9,0.10450333278149992,57,0.1,0,120.49799999999999,92.97612330142202,287.2363346924095
2006-06-20T05:59:59Z,2006-06-20T15:54:41Z,12.4,0.06134521143199995,38,0,0,80.332,95.73939590896488,184.84724844970958
2006-06-20T06:30:00Z,2006-06-20T16:24:42Z,11.7,0.027314261609999998,19,0,0,40.166,98.0133742601464,73.69093148999349
2006-06-20T07:00:00Z,2006-06-20T16:54:42Z,11.2,0,9,0,0,19.026,100,0
2006-06-20T07:30:00Z,2006-06-20T17:24:42Z,11,0,0,0,0,0,100,0
2006-06-20T08:00:00Z,2006-06-20T17:54:42Z,10.8,0,0,0,0,0,100,0
2006-06-20T08:30:00Z,2006-06-20T18:24:42Z,10.5,0,0,0,0,0,100,0
2006-06-20T09:00:00Z,2006-06-20T18:54:42Z,10.1,0,0,0,0,0,100,0
2006-06-20T09:30:00Z,2006-06-20T19:24:42Z,10.1,0,0,0,0,0,100,0
2006-06-20T10:00:00Z,2006-06-20T19:54:42Z,9.8,0,0,0,0,0,100,0
2006-06-20T10:30:00Z,2006-06-20T20:24:42Z,9.6,0,0,0,0,0,100,0
2006-06-20T11:00:00Z,2006-06-20T20:54:42Z,9.3,0,0,0,0,0,100,0
2006-06-20T11:30:00Z,2006-06-20T21:24:42Z,9.3,0,0,0,0,0,100,0
2006-06-20T12:00:00Z,2006-06-20T21:54:42Z,9.1,0,0,0,0,0,100,0
2006-06-20T12:30:00Z,2006-06-20T22:24:42Z,8.9,0,0,0,0,0,100,0
2006-06-20T13:00:00Z,2006-06-20T22:54:42Z,8.9,0,0,0,0,0,100,0
2006-06-20T13:30:00Z,2006-06-20T23:24:42Z,8.9,0,0,0,0,0,100,0
2006-06-20T14:00:00Z,2006-06-20T23:54:42Z,8.9,0,0,0,0,0,100,0
2006-06-20T14:30:00Z,2006-06-21T00:24:30Z,8.9,0,0,0,0,0,100,0
2006-06-20T15:00:00Z,2006-06-21T00:54:30Z,8.6,0,0,0,0,0,100,0
2006-06-20T15:30:00Z,2006-06-21T01:24:30Z,8.4,0,0,0,0,0,100,0
2006-06-20T16:00:00Z,2006-06-21T01:54:30Z,7.2,0,0,0,0,0,100,0
2006-06-20T16:30:00Z,2006-06-21T02:24:30Z,6.2,0,0,0,0,0,100,0
2006-06-20T17:00:00Z,2006-06-21T02:54:30Z,6,0,0,0,0,0,100,0
2006-06-20T17:30:00Z,2006-06-21T03:24:30Z,5.3,0,0,0,0,0,100,0
2006-06-20T18:00:00Z,2006-06-21T03:54:30Z,6.2,0,0,0,0,0,100,0
2006-06-20T18:30:00Z,2006-06-21T04:24:30Z,6.7,0,0,0,0,0,100,0
2006-06-20T19:00:00Z,2006-06-21T04:54:30Z,6.7,0,0,0,0,0,100,0
2006-06-20T19:30:00Z,2006-06-21T05:24:30Z,6.9,0,0,0,0,0,100,0
2006-06-20T20:00:00Z,2006-06-21T05:54:30Z,7.2,0,0,0,0,0,100,0
2006-06-20T20:30:00Z,2006-06-21T06:24:30Z,7.2,0,0,0,0,0,100,0
2006-06-20T21:00:00Z,2006-06-21T06:54:30Z,7.4,0,0,0,0,0,100,0
2006-06-20T21:30:00Z,2006-06-21T07:24:30Z,7.4,0,0,0,0,0,100,19.085860731197496
2006-06-20T22:00:00Z,2006-06-21T07:54:30Z,7.4,0,0,0,0,0,100,133.57332348187902
2006-06-20T22:30:00Z,2006-06-21T08:24:30Z,7.2,0,28,0,0,59.19199999999999,100,240.2885045428119
2006-06-20T23:00:00Z,2006-06-21T08:54:30Z,7.7,0,28,0,0,59.19199999999999,100,337.40602856812353
2006-06-20T23:30:00Z,2006-06-21T09:24:30Z,8.6,0,47,0,0,99.35799999999999,100,423.26468915436686
2006-06-21T00:00:00Z,2006-06-21T09:54:30Z,13.2,0,104,0,0,219.856,100,496.3958639700704
2006-06-21T00:30:00Z,2006-06-21T10:24:30Z,13.6,0,94,0,0,198.71599999999998,100,555.5486357150739
2006-06-21T01:00:00Z,2006-06-21T10:54:30Z,14.8,0.16910198030400006,75,0,0,158.54999999999998,89.95435480845222,599.711189212439
2006-06-21T01:30:00Z,2006-06-21T11:24:30Z,15.3,0.3626737157940001,38,0.2,0,80.332,79.13743105501743,628.1281186331529
2006-06-21T02:00:00Z,2006-06-21T11:54:30Z,15.6,0.3416804448959999,57,0.6,0,120.49799999999999,80.71979742553597,640.3133488112534
2006-06-21T02:30:00Z,2006-06-21T12:24:30Z,15.8,0.47133848342400003,75,0.7,0,158.54999999999998,73.74199250242914,636.0584496284982
2006-06-21T03:00:00Z,2006-06-21T12:54:30Z,16,0.3861305423999999,94,0.7,0,198.71599999999998,78.76222034032747,615.4362012497094
2006-06-21T03:30:00Z,2006-06-21T13:24:30Z,18.2,0.6835986663839999,141,0.5,0,298.07399999999996,67.29221312711367,578.7993492246769
2006-06-21T04:00:00Z,2006-06-21T13:54:30Z,16.3,0.684949036532,57,0.5,0,120.49799999999999,63.04113754521439,526.7745707503354
2006-06-21T04:30:00Z,2006-06-21T14:24:30Z,15.3,0.4157061931035,47,0.2,0,99.35799999999999,76.08677238853413,460.25175530055026
2006-06-21T05:00:00Z,2006-06-21T14:54:30Z,15.1,0.4375483123865001,47,0.5,0,99.35799999999999,74.50458284640509,380.3687829792198
2006-06-21T05:30:00Z,2006-06-21T15:24:30Z,13.9,0.34471913993000003,28,0.1,0,59.19199999999999,78.29336551826206,288.49206096417566
2006-06-21T06:00:00Z,2006-06-21T15:54:30Z,12.9,0.28260056188800003,19,0.2,0,40.166,81.00585456159193,186.19315096792965
2006-06-21T06:30:00Z,2006-06-21T16:24:30Z,11.7,0.1980283966725,9,0,0,19.026,85.59696338606149,75.2218875048658
2006-06-21T07:00:00Z,2006-06-21T16:54:30Z,10.8,0.1472139082080001,0,0,0,0,88.63420301750699,0
2006-06-21T07:30:00Z,2006-06-21T17:24:30Z,10.3,0.06384537507449993,0,0,0,0,94.90360344670437,0
2006-06-21T08:00:00Z,2006-06-21T17:54:30Z,10.1,0.014837165382000035,0,0,0,0,98.79968857428449,0
2006-06-21T08:30:00Z,2006-06-21T18:24:30Z,9.8,0,0,0,0,0,100,0
2006-06-21T09:00:00Z,2006-06-21T18:54:30Z,10.5,0,0,0.2,0,0,100,0
2006-06-21T09:30:00Z,2006-06-21T19:24:30Z,10.8,0,0,0,0,0,100,0
2006-06-21T10:00:00Z,2006-06-21T19:54:30Z,11.2,0,0,0,0,0,100,0
2006-06-21T10:30:00Z,2006-06-21T20:24:30Z,10.8,0,0,0,0,0,100,0
2006-06-21T11:00:00Z,2006-06-21T20:54:30Z,10.3,0,0,0,0,0,100,0
2006-06-21T11:30:00Z,2006-06-21T21:24:30Z,10.1,0,0,0,0,0,100,0
2006-06-21T12:00:00Z,2006-06-21T21:54:30Z,8.9,0,0,0,0,0,100,0
2006-06-21T12:30:00Z,2006-06-21T22:24:30Z,8.4,0,0,0,0,0,100,0
2006-06-21T13:00:00Z,2006-06-21T22:54:30Z,8.6,0,0,0,0,0,100,0
2006-06-21T13:30:00Z,2006-06-21T23:24:30Z,8.6,0,0,0,0,0,100,0
2006-06-21T14:00:00Z,2006-06-21T23:54:30Z,8.9,0,0,0,0,0,100,0
2006-06-21T14:30:00Z,2006-06-22T00:24:18Z,9.3,0,0,0,0,0,100,0
2006-06-21T15:00:00Z,2006-06-22T00:54:18Z,9.3,0,0,0,0,0,100,0
2006-06-21T15:30:00Z,2006-06-22T01:24:18Z,9.1,0,0,0,0,0,100,0
2006-06-21T16:00:00Z,2006-06-22T01:54:18Z,7.9,0,0,0,0,0,100,0
2006-06-21T16:30:00Z,2006-06-22T02:24:18Z,8.1,0,0,0,0,0,100,0
2006-06-21T17:00:00Z,2006-06-22T02:54:18Z,8.9,0,0,0,0,0,100,0
2006-06-21T17:30:00Z,2006-06-22T03:24:18Z,8.1,0,0,0,0,0,100,0
2006-06-21T18:00:00Z,2006-06-22T03:54:18Z,7.9,0,0,0,0,0,100,0
2006-06-21T18:30:00Z,2006-06-22T04:24:18Z,7.9,0,0,0,0,0,100,0
2006-06-21T19:00:00Z,2006-06-22T04:54:18Z,7.4,0,0,0,0,0,100,0
2006-06-21T19:30:00Z,2006-06-22T05:24:18Z,6.9,0,0,0,0,0,100,0
2006-06-21T20:00:00Z,2006-06-22T05:54:18Z,6.7,0,0,0,0,0,100,0
2006-06-21T20:30:00Z,2006-06-22T06:24:18Z,6.9,0,0,0,0,0,100,0
2006-06-21T21:00:00Z,2006-06-22T06:54:18Z,8.4,0,0,0,0,0,100,0
2006-06-21T21:30:00Z,2006-06-22T07:24:18Z,8.6,0,9,0,0,19.026,100,17.496409022061666
2006-06-21T22:00:00Z,2006-06-22T07:54:18Z,9.1,0,9,0,0,19.026,100,132.0670785027838
2006-06-21T22:30:00Z,2006-06-22T08:24:18Z,10.5,0,47,0,0,99.35799999999999,100,238.8926435738881
2006-06-21T23:00:00Z,2006-06-22T08:54:18Z,12.2,0,85,0,0,179.69,100,336.1458389475086
2006-06-21T23:30:00Z,2006-06-22T09:24:18Z,13.4,0,122,0.1,0,257.90799999999996,100,422.1631358355456
2006-06-22T00:00:00Z,2006-06-22T09:54:18Z,13.4,0,141,0.2,0,298.07399999999996,100,495.4731968372438
2006-06-22T00:30:00Z,2006-06-22T10:24:18Z,15.1,0.0405450173640001,141,0.6,0,298.07399999999996,97.63749030236959,554.8220433716878
2006-06-22T01:00:00Z,2006-06-22T10:54:18Z,16.3,0.23499581306550008,122,0.7,0,257.90799999999996,87.319964742906,599.1945051626657
2006-06-22T01:30:00Z,2006-06-22T11:24:18Z,15.6,0.24580072821599988,47,0.9,0,99.35799999999999,86.13005835204373,627.8315848791917
2006-06-22T02:00:00Z,2006-06-22T11:54:18Z,15.1,0.23820197701349993,94,0.8,0,198.71599999999998,86.1202555264213,640.2434409067275
2006-06-22T02:30:00Z,2006-06-22T12:24:18Z,16.7,0.3661416328779999,170,0.6,0,359.38,80.74012232440447,636.2177661764765
2006-06-22T03:00:00Z,2006-06-22T12:54:18Z,16.7,0.3810861893220001,160,0.8,0,338.24,79.9540048682577,615.8234197311775
2006-06-22T03:30:00Z,2006-06-22T13:24:18Z,17,0.3350417311999999,141,0.9,0,298.07399999999996,82.70844853673796,579.4092489082681
2006-06-22T04:00:00Z,2006-06-22T13:54:18Z,16.3,0.4499532234665001,75,0.9,0,158.54999999999998,75.72117280230837,527.5981222864507
2006-06-22T04:30:00Z,2006-06-22T14:24:18Z,15.8,0.31069503027199985,66,0.8,0,139.524,82.69135086302445,461.27627546215666
2006-06-22T05:00:00Z,2006-06-22T14:54:18Z,14.8,0.24039007004000001,66,0.7,0,139.524,85.71942595319189,381.5781518971215
2006-06-22T05:30:00Z,2006-06-22T15:24:18Z,14.4,0.19078034491199994,57,0.5,0,120.49799999999999,88.36987884527618,289.86699813571545
2006-06-22T06:00:00Z,2006-06-22T15:54:18Z,13.6,0.16300105649599994,38,0.7,0,80.332,89.53377648991149,187.71154531267433
2006-06-22T06:30:00Z,2006-06-22T16:24:18Z,13.4,0.13667575536,38,0.6,0,80.332,91.10900187403381,76.85917581655501
2006-06-22T07:00:00Z,2006-06-22T16:54:18Z,13.4,0.12452679932800007,9,0.5,0,19.026,91.89931281856413,0
2006-06-22T07:30:00Z,2006-06-22T17:24:18Z,13.2,0.13497662232,0,0.5,0,0,91.10418046298415,0
2006-06-22T08:00:00Z,2006-06-22T17:54:18Z,12.4,0.10699746179999998,0,0.1,0,0,92.56871379470618,0
2006-06-22T08:30:00Z,2006-06-22T18:24:18Z,11.7,0.05326281013950008,0,0,0,0,96.12607980728549,0
2006-06-22T09:00:00Z,2006-06-22T18:54:18Z,11.5,0.036417889912500036,0,0,0,0,97.31597605300873,0
2006-06-22T09:30:00Z,2006-06-22T19:24:18Z,11.2,0.021181843327999918,0,0,0,0,98.40753471939713,0
2006-06-22T10:00:00Z,2006-06-22T19:54:18Z,10.8,0,0,0,0,0,100,0
2006-06-22T10:30:00Z,2006-06-22T20:24:18Z,11,0,0,0,0,0,100,0
2006-06-22T11:00:00Z,2006-06-22T20:54:18Z,11.2,0,0,0,0,0,100,0
2006-06-22T11:30:00Z,2006-06-22T21:24:18Z,11.7,0.01092570464399996,0,0.2,0,0,99.20534970405856,0
2006-06-22T12:00:00Z,2006-06-22T21:54:18Z,12,0.09879523619999993,0,0.3,0,0,92.95530625429383,0
2006-06-22T12:30:00Z,2006-06-22T22:24:18Z,12,0.12523339800000002,0,0.3,0,0,91.0701065195274,0
2006-06-22T13:00:00Z,2006-06-22T22:54:18Z,11.2,0.08340350810399993,0,0,0,0,93.72966795762616,0
2006-06-22T13:30:00Z,2006-06-22T23:24:18Z,10.5,0.03929279643749992,0,0,0,0,96.90509934606696,0
2006-06-22T14:00:00Z,2006-06-22T23:54:18Z,9.6,0.004794741984000069,0,0,0,0,99.59888226260645,0
2006-06-22T14:30:00Z,2006-06-23T00:24:06Z,9.3,0,0,0.5,0,0,100,0
2006-06-22T15:00:00Z,2006-06-23T00:54:06Z,9.8,0,0,0.1,0,0,100,0
2006-06-22T15:30:00Z,2006-06-23T01:24:06Z,10.5,0,0,0,0,0,100,0
2006-06-22T16:00:00Z,2006-06-23T01:54:06Z,9.3,0,0,0,0,0,100,0
2006-06-22T16:30:00Z,2006-06-23T02:24:06Z,9.8,0,0,0,0,0,100,0
2006-06-22T17:00:00Z,2006-06-23T02:54:06Z,9.8,0,0,0,0,0,100,0
2006-06-22T17:30:00Z,2006-06-23T03:24:06Z,9.1,0,0,0,0,0,100,0
2006-06-22T18:00:00Z,2006-06-23T03:54:06Z,8.9,0,0,0,0,0,100,0
2006-06-22T18:30:00Z,2006-06-23T04:24:06Z,8.9,0,0,0,0,0,100,0
2006-06-22T19:00:00Z,2006-06-23T04:54:06Z,8.9,0,0,0,0,0,100,0
2006-06-22T19:30:00Z,2006-06-23T05:24:06Z,8.6,0,0,0.1,0,0,100,0
2006-06-22T20:00:00Z,2006-06-23T05:54:06Z,8.6,0,0,0.1,0,0,100,0
2006-06-22T20:30:00Z,2006-06-23T06:24:06Z,9.1,0,0,0,0,0,100,0
2006-06-22T21:00:00Z,2006-06-23T06:54:06Z,8.6,0,0,0,0,0,100,0
2006-06-22T21:30:00Z,2006-06-23T07:24:06Z,9.3,0,0,0,0,0,100,16.016046768726053
2006-06-22T22:00:00Z,2006-06-23T07:54:06Z,9.6,0,9,0,0,19.026,100,130.6764185898673
2006-06-22T22:30:00Z,2006-06-23T08:24:06Z,10.3,0,28,0,0,59.19199999999999,100,237.61835089836492
2006-06-22T23:00:00Z,2006-06-23T08:54:06Z,10.5,0,57,0.2,0,120.49799999999999,100,335.0125851163695
2006-06-22T23:30:00Z,2006-06-23T09:24:06Z,12.2,0,66,0,0,139.524,100,421.19317734401216
2006-06-23T00:00:00Z,2006-06-23T09:54:06Z,13.6,0.072274053352000045,94,0,0,198.71599999999998,95.35931599080982,494.68599460666917
2006-06-23T00:30:00Z,2006-06-23T10:24:06Z,13.9,0.12221860415699995,94,0.1,0,198.71599999999998,92.3040114110202,554.2339301515666
2006-06-23T01:00:00Z,2006-06-23T10:54:06Z,14.4,0.253834865688,113,0.2,0,238.88199999999998,84.52602524329119,598.8184064815673
2006-06-23T01:30:00Z,2006-06-23T11:24:06Z,14.8,0.311678159776,151,0.3,0,319.214,81.48449709793155,627.6767983126759
2006-06-23T02:00:00Z,2006-06-23T11:54:06Z,15.6,0.33470737459200006,160,0,0,338.24,81.11327094746379,640.3154774320693
2006-06-23T02:30:00Z,2006-06-23T12:24:06Z,15.8,0.3671850357759999,160,0,0,338.24,79.54432374721073,636.518256321411
2006-06-23T03:00:00Z,2006-06-23T12:54:06Z,16,0.36467884560000013,151,0,0,319.214,79.94209698808704,616.3500861150452
2006-06-23T03:30:00Z,2006-06-23T13:24:06Z,16,0.3861305423999999,141,0,0,298.07399999999996,78.76222034032747,580.1559456378973
2006-06-23T04:00:00Z,2006-06-23T13:54:06Z,15.3,0.34214501490000004,132,0,0,279.048,80.31833118397871,528.5549405252865
2006-06-23T04:30:00Z,2006-06-23T14:24:06Z,14.8,0.2669158708719999,94,0,0,198.71599999999998,84.1436384721648,462.4297133591135
2006-06-23T05:00:00Z,2006-06-23T14:54:06Z,14.4,0.20209782299999998,57,0,0,120.49799999999999,87.67995640389425,382.911345960712
2006-06-23T05:30:00Z,2006-06-23T15:24:06Z,13.2,0.19346649199200006,19,0.3,0,40.166,87.24932533027726,291.36001208816947
2006-06-23T06:00:00Z,2006-06-23T15:54:06Z,11.5,0.03237145770000007,9,0.5,0.2,19.026,97.61420093600776,189.34171147579158
2006-06-23T06:30:00Z,2006-06-23T16:24:06Z,10.8,0,0,0.6,2,0,100,78.6014831828899
2006-06-23T07:00:00Z,2006-06-23T16:54:06Z,10.3,0,0,0.1,1,0,100,0
2006-06-23T07:30:00Z,2006-06-23T17:24:06Z,10.1,0,0,0,1.2,0,100,0
2006-06-23T08:00:00Z,2006-06-23T17:54:06Z,9.8,0,0,0.1,1.4,0,100,0
2006-06-23T08:30:00Z,2006-06-23T18:24:06Z,9.6,0,0,0,0.8,0,100,0
2006-06-23T09:00:00Z,2006-06-23T18:54:06Z,9.3,0,0,0,0,0,100,0
2006-06-23T09:30:00Z,2006-06-23T19:24:06Z,9.1,0,0,0,0,0,100,0
2006-06-23T10:00:00Z,2006-06-23T19:54:06Z,8.9,0,0,0,0,0,100,0
2006-06-23T10:30:00Z,2006-06-23T20:24:06Z,8.6,0,0,0,0,0,100,0
2006-06-23T11:00:00Z,2006-06-23T20:54:06Z,8.1,0,0,0,0,0,100,0
2006-06-23T11:30:00Z,2006-06-23T21:24:06Z,8.1,0,0,0,0,0,100,0
2006-06-23T12:00:00Z,2006-06-23T21:54:06Z,7.7,0,0,0,0,0,100,0
2006-06-23T12:30:00Z,2006-06-23T22:24:06Z,7.4,0,0,0,0,0,100,0
2006-06-23T13:00:00Z,2006-06-23T22:54:06Z,7.9,0,0,0,0,0,100,0
2006-06-23T13:30:00Z,2006-06-23T23:24:06Z,8.4,0,0,0,0,0,100,0
2006-06-23T14:00:00Z,2006-06-23T23:54:06Z,8.4,0,0,0,0,0,100,0
2006-06-23T14:30:00Z,2006-06-24T00:23:55Z,8.1,0,0,0,0,0,100,0
2006-06-23T15:00:00Z,2006-06-24T00:53:55Z,8.1,0,0,0,0.4,0,100,0
2006-06-23T15:30:00Z,2006-06-24T01:23:55Z,8.1,0,0,0,0.8,0,100,0
2006-06-23T16:00:00Z,2006-06-24T01:53:55Z,8.4,0,0,0,0,0,100,0
2006-06-23T16:30:00Z,2006-06-24T02:23:55Z,8.4,0,0,0,0,0,100,0
2006-06-23T17:00:00Z,2006-06-24T02:53:55Z,8.1,0,0,0,0,0,100,0
2006-06-23T17:30:00Z,2006-06-24T03:23:55Z,8.6,0,0,0,0,0,100,0
2006-06-23T18:00:00Z,2006-06-24T03:53:55Z,8.9,0,0,0,0,0,100,0
2006-06-23T18:30:00Z,2006-06-24T04:23:55Z,8.4,0,0,0,0,0,100,0
2006-06-23T19:00:00Z,2006-06-24T04:53:55Z,7.7,0,0,0,0,0,100,0
2006-06-23T19:30:00Z,2006-06-24T05:23:55Z,6.9,0,0,0,0,0,100,0
2006-06-23T20:00:00Z,2006-06-24T05:53:55Z,6.5,0,0,0,0,0,100,0
2006-06-23T20:30:00Z,2006-06-24T06:23:55Z,6.2,0,0,0,0,0,100,0
2006-06-23T21:00:00Z,2006-06-24T06:53:55Z,6,0,0,0,0,0,100,0
2006-06-23T21:30:00Z,2006-06-24T07:23:55Z,6,0,9,0,0,19.026,100,14.711438657207776
2006-06-23T22:00:00Z,2006-06-24T07:53:55Z,5.5,0,0,0,0,0,100,129.46418743111022
2006-06-23T22:30:00Z,2006-06-24T08:23:55Z,5.7,0,19,0,0,40.166,100,236.52357258955894
2006-06-23T23:00:00Z,2006-06-24T08:53:55Z,6.9,0,19,0,0,40.166,100,334.0583226913344
2006-06-23T23:30:00Z,2006-06-24T09:23:55Z,7.7,0,38,0,0,80.332,100,420.4000867540719
2006-06-24T00:00:00Z,2006-06-24T09:53:55Z,12,0,104,0,0,219.856,100,494.0719717395707
2006-06-24T00:30:00Z,2006-06-24T10:23:55Z,11.2,0,94,0,0,198.71599999999998,100,553.8138051209406
2006-06-24T01:00:00Z,2006-06-24T10:53:55Z,12,0,66,0.3,0,139.524,100,598.6036904098481
2006-06-24T01:30:00Z,2006-06-24T11:23:55Z,11.7,0.17617698738450005,38,0.8,0,80.332,87.18626397794435,627.6754869315034
2006-06-24T02:00:00Z,2006-06-24T11:53:55Z,12.4,0.33525871364,57,1,0,120.49799999999999,76.71530322341269,640.5319148513439
2006-06-24T02:30:00Z,2006-06-24T12:23:55Z,12.4,0.402310456368,38,1.6,0,80.332,72.05836386809523,636.9530612883772
2006-06-24T03:00:00Z,2006-06-24T12:53:55Z,13.2,0.38843272423200004,94,1.6,0,198.71599999999998,74.39980822125433,617.0001420151732
2006-06-24T03:30:00Z,2006-06-24T13:23:55Z,14.1,0.5473985516325,113,1.5,0.2,238.88199999999998,65.97536242756121,581.014454398665
2006-06-24T04:00:00Z,2006-06-24T13:53:55Z,13.4,0.452548612192,57,1,0,120.49799999999999,70.56091731624528,529.6115394905735
2006-06-24T04:30:00Z,2006-06-24T14:23:55Z,12.9,0.4901353495245,38,0.9,0,80.332,67.057029005261,463.67065312474006
2006-06-24T05:00:00Z,2006-06-24T14:53:55Z,12.7,0.43317368669899997,57,1.3,0,120.49799999999999,70.50152469624089,384.319726119046
2006-06-24T05:30:00Z,2006-06-24T15:23:55Z,12.2,0.3761878151760001,28,0.9,0,59.19199999999999,73.52667344332772,292.91607083930774
2006-06-24T06:00:00Z,2006-06-24T15:53:55Z,12.2,0.3480089526160001,28,0.6,0,59.19199999999999,75.50969415918331,191.02316414209395
2006-06-24T06:30:00Z,2006-06-24T16:23:55Z,11.5,0.29673836225,28,0.5,0,59.19199999999999,78.13017524673782,80.38390382755112
2006-06-24T07:00:00Z,2006-06-24T16:53:55Z,9.6,0.15942517096799996,9,0,0,19.026,86.66283523166442,0
2006-06-24T07:30:00Z,2006-06-24T17:23:55Z,10.1,0.12611590574700005,0,0,0,0,89.79735288141822,0
2006-06-24T08:00:00Z,2006-06-24T17:53:55Z,11.2,0.19196045515999996,0,0.3,0,0,85.56828339453641,0
2006-06-24T08:30:00Z,2006-06-24T18:23:55Z,11,0.17912782880000003,0,0.5,0,0,86.35300235644256,0
2006-06-24T09:00:00Z,2006-06-24T18:53:55Z,11,0.17912782880000003,0,0.5,0,0,86.35300235644256,0
2006-06-24T09:30:00Z,2006-06-24T19:23:55Z,10.3,0.14772067174099995,0,0.2,0,0,88.20833738649245,0
2006-06-24T10:00:00Z,2006-06-24T19:53:55Z,9.6,0.10788169464000001,0,0.1,0,0,90.9748509086451,0
2006-06-24T10:30:00Z,2006-06-24T20:23:55Z,9.1,0.07321372969049997,0,0.1,0,0,93.6653743018876,0
2006-06-24T11:00:00Z,2006-06-24T20:53:55Z,7.9,0.046393136514499965,0,0.2,0,0,95.64574532042168,0
2006-06-24T11:30:00Z,2006-06-24T21:23:55Z,7.9,0.02157820303,0,0.2,0,0,97.97476526531241,0
2006-06-24T12:00:00Z,2006-06-24T21:53:55Z,8.6,0.07999530353599994,0,0.1,0,0,92.84065606006774,0
2006-06-24T12:30:00Z,2006-06-24T22:23:55Z,8.4,0.10015470936,0,0.3,0,0,90.91408455328094,0
2006-06-24T13:00:00Z,2006-06-24T22:53:55Z,8.4,0.06565697613600006,0,0,0,0,94.04367765159527,0
2006-06-24T13:30:00Z,2006-06-24T23:23:55Z,8.4,0.06565697613600006,0,0.2,0,0,94.04367765159527,0
2006-06-24T14:00:00Z,2006-06-24T23:53:55Z,8.9,0.09412106833300002,0,0.6,0,0,91.74569790811,0
2006-06-24T14:30:00Z,2006-06-25T00:23:43Z,9.6,0.13665014654400007,0,0.8,0,0,88.56814448428378,0
2006-06-24T15:00:00Z,2006-06-25T00:53:43Z,8.9,0.12166869808899994,0,0.6,0,0,89.3298046129227,0
2006-06-24T15:30:00Z,2006-06-25T01:23:43Z,8.6,0.09238894211200004,0,0.5,0,0,91.73146192852893,0
2006-06-24T16:00:00Z,2006-06-25T01:53:43Z,8.4,0.10015470936,0,0.1,0,0,90.91408455328094,0
2006-06-24T16:30:00Z,2006-06-25T02:23:43Z,8.9,0.13085124134100007,0,0.2,0,0,88.52450684786025,0
2006-06-24T17:00:00Z,2006-06-25T02:53:43Z,8.9,0.16184232481649993,0,0.6,0,0,85.80662689077452,0
2006-06-24T17:30:00Z,2006-06-25T03:23:43Z,9.1,0.15921080900950002,0,1,0,0,86.22470284696189,0
2006-06-24T18:00:00Z,2006-06-25T03:53:43Z,9.1,0.1452653366875,0,1.5,0,0,87.43129821803093,0
2006-06-24T18:30:00Z,2006-06-25T04:23:43Z,8.9,0.13085124134100007,0,1.5,0,0,88.52450684786025,0
2006-06-24T19:00:00Z,2006-06-25T04:53:43Z,8.6,0.12393638576000002,0,1.3,0,0,88.90805868461197,0
2006-06-24T19:30:00Z,2006-06-25T05:23:43Z,9.1,0.14991382746150006,0,1.3,0,0,87.02909976100791,0
2006-06-24T20:00:00Z,2006-06-25T05:53:43Z,8.6,0.16337069032,0,1.3,0,0,85.37880462971579,0
2006-06-24T20:30:00Z,2006-06-25T06:23:43Z,8.1,0.15839119058249998,0,0.9,0,0,85.33510671160028,0
2006-06-24T21:00:00Z,2006-06-25T06:53:43Z,7.9,0.1348637689375,0,0.3,0,0,87.34228290820256,0
2006-06-24T21:30:00Z,2006-06-25T07:23:43Z,8.1,0.14965236627450001,0,0.1,0,0,86.14420427233958,13.452639016062667
2006-06-24T22:00:00Z,2006-06-25T07:53:43Z,8.6,0.16337069032,9,0.2,0,19.026,85.37880462971579,128.30784670037826
2006-06-24T22:30:00Z,2006-06-25T08:23:43Z,9.1,0.19639873520150006,19,0.9,0,40.166,83.0071151907778,235.4952717811163
2006-06-24T23:00:00Z,2006-06-25T08:53:43Z,9.6,0.22055813126400006,47,0.9,0,99.35799999999999,81.54858407989663,333.18144785780277
2006-06-24T23:30:00Z,2006-06-25T09:23:43Z,10.3,0.27541142189,47,1.3,0,99.35799999999999,78.01554427990116,419.69542933119163
2006-06-25T00:00:00Z,2006-06-25T09:53:43Z,12.2,0.4424081421920001,122,1.5,0,257.90799999999996,68.86657476106706,493.5573733500093
