TIMESTAMP,TIMESTAMP_solar,USA_WVF_Aru_Js_1,USA_WVF_Aru_Js_2,USA_WVF_Asa_Js_3,USA_WVF_Pse_Js_4,USA_WVF_Qal_Js_5,USA_WVF_Qal_Js_6,USA_WVF_Qru_Js_7,USA_WVF_Qru_Js_8
1998-03-25T15:00:00Z,1998-03-25T09:35:30Z,0,0,0,0,0,0,0,0
1998-03-25T16:00:00Z,1998-03-25T10:35:30Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-25T17:00:00Z,1998-03-25T11:35:30Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-25T18:00:00Z,1998-03-25T12:35:30Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-25T19:00:00Z,1998-03-25T13:35:30Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-25T20:00:00Z,1998-03-25T14:35:30Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-25T21:00:00Z,1998-03-25T15:35:30Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-25T22:00:00Z,1998-03-25T16:35:30Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-25T23:00:00Z,1998-03-25T17:35:30Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-26T00:00:00Z,1998-03-25T18:35:30Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-26T01:00:00Z,1998-03-25T19:35:30Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-26T02:00:00Z,1998-03-25T20:35:30Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-26T03:00:00Z,1998-03-25T21:35:30Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-26T04:00:00Z,1998-03-25T22:35:30Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-26T05:00:00Z,1998-03-25T23:35:30Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-26T06:00:00Z,1998-03-26T00:35:48Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-26T07:00:00Z,1998-03-26T01:35:48Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-26T08:00:00Z,1998-03-26T02:35:48Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-26T09:00:00Z,1998-03-26T03:35:48Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-26T10:00:00Z,1998-03-26T04:35:48Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-26T11:00:00Z,1998-03-26T05:35:48Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-26T12:00:00Z,1998-03-26T06:35:48Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-26T13:00:00Z,1998-03-26T07:35:48Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-26T14:00:00Z,1998-03-26T08:35:48Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-26T15:00:00Z,1998-03-26T09:35:48Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-26T16:00:00Z,1998-03-26T10:35:48Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-26T17:00:00Z,1998-03-26T11:35:48Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-26T18:00:00Z,1998-03-26T12:35:48Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-26T19:00:00Z,1998-03-26T13:35:48Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-26T20:00:00Z,1998-03-26T14:35:48Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-26T21:00:00Z,1998-03-26T15:35:48Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-26T22:00:00Z,1998-03-26T16:35:48Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-26T23:00:00Z,1998-03-26T17:35:48Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T00:00:00Z,1998-03-26T18:35:48Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T01:00:00Z,1998-03-26T19:35:48Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T02:00:00Z,1998-03-26T20:35:48Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T03:00:00Z,1998-03-26T21:35:48Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T04:00:00Z,1998-03-26T22:35:48Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T05:00:00Z,1998-03-26T23:35:48Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T06:00:00Z,1998-03-27T00:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T07:00:00Z,1998-03-27T01:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T08:00:00Z,1998-03-27T02:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T09:00:00Z,1998-03-27T03:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T10:00:00Z,1998-03-27T04:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T11:00:00Z,1998-03-27T05:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T12:00:00Z,1998-03-27T06:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T13:00:00Z,1998-03-27T07:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T14:00:00Z,1998-03-27T08:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T15:00:00Z,1998-03-27T09:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T16:00:00Z,1998-03-27T10:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T17:00:00Z,1998-03-27T11:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T18:00:00Z,1998-03-27T12:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T19:00:00Z,1998-03-27T13:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T20:00:00Z,1998-03-27T14:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T21:00:00Z,1998-03-27T15:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T22:00:00Z,1998-03-27T16:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T23:00:00Z,1998-03-27T17:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T00:00:00Z,1998-03-27T18:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T01:00:00Z,1998-03-27T19:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T02:00:00Z,1998-03-27T20:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T03:00:00Z,1998-03-27T21:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T04:00:00Z,1998-03-27T22:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T05:00:00Z,1998-03-27T23:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T06:00:00Z,1998-03-28T00:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T07:00:00Z,1998-03-28T01:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T08:00:00Z,1998-03-28T02:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T09:00:00Z,1998-03-28T03:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T10:00:00Z,1998-03-28T04:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T11:00:00Z,1998-03-28T05:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T12:00:00Z,1998-03-28T06:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T13:00:00Z,1998-03-28T07:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T14:00:00Z,1998-03-28T08:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T15:00:00Z,1998-03-28T09:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T16:00:00Z,1998-03-28T10:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T17:00:00Z,1998-03-28T11:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T18:00:00Z,1998-03-28T12:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T19:00:00Z,1998-03-28T13:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T20:00:00Z,1998-03-28T14:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T21:00:00Z,1998-03-28T15:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T22:00:00Z,1998-03-28T16:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T23:00:00Z,1998-03-28T17:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T00:00:00Z,1998-03-28T18:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T01:00:00Z,1998-03-28T19:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T02:00:00Z,1998-03-28T20:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T03:00:00Z,1998-03-28T21:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T04:00:00Z,1998-03-28T22:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T05:00:00Z,1998-03-28T23:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T06:00:00Z,1998-03-29T00:36:43Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T07:00:00Z,1998-03-29T01:36:43Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T08:00:00Z,1998-03-29T02:36:43Z,NA,NA,NA,NA,NA,NA,NA,NA
