TIMESTAMP,solar_TIMESTAMP,USA_CHE_MAP_Asa_Js_1,USA_CHE_MAP_Asa_Js_2,USA_CHE_MAP_Asa_Js_3,USA_CHE_MAP_Asa_Js_4,USA_CHE_MAP_Asa_Js_5,USA_CHE_MAP_Pre_Js_6,USA_CHE_MAP_Asa_Js_7,USA_CHE_MAP_Asa_Js_8,USA_CHE_MAP_Pre_Js_9,USA_CHE_MAP_Asa_Js_10,USA_CHE_MAP_Asa_Js_11,USA_CHE_MAP_Asa_Js_12,USA_CHE_MAP_Asa_Js_13,USA_CHE_MAP_Pre_Js_14,USA_CHE_MAP_Asa_Js_15,USA_CHE_MAP_Pre_Js_16,USA_CHE_MAP_Asa_Js_17,USA_CHE_MAP_Asa_Js_18,USA_CHE_MAP_Pre_Js_19,USA_CHE_MAP_Asa_Js_20,USA_CHE_MAP_Pre_Js_21,USA_CHE_MAP_Asa_Js_22,USA_CHE_MAP_Pre_Js_23,USA_CHE_MAP_Asa_Js_24,USA_CHE_MAP_Asa_Js_25,USA_CHE_MAP_Asa_Js_26,USA_CHE_MAP_Asa_Js_27,USA_CHE_MAP_Asa_Js_28,USA_CHE_MAP_Asa_Js_29,USA_CHE_MAP_Pre_Js_30,USA_CHE_MAP_Asa_Js_31,USA_CHE_MAP_Pre_Js_32,USA_CHE_MAP_Asa_Js_33,USA_CHE_MAP_Asa_Js_34,USA_CHE_MAP_Pre_Js_35,USA_CHE_MAP_Asa_Js_36,USA_CHE_MAP_Pre_Js_37,USA_CHE_MAP_Pre_Js_38,USA_CHE_MAP_Asa_Js_39,USA_CHE_MAP_Asa_Js_40,USA_CHE_MAP_Asa_Js_41,USA_CHE_MAP_Asa_Js_42,USA_CHE_MAP_Asa_Js_43,USA_CHE_MAP_Asa_Js_44,USA_CHE_MAP_Pre_Js_45,USA_CHE_MAP_Asa_Js_46,USA_CHE_MAP_Pre_Js_47,USA_CHE_MAP_Asa_Js_48,USA_CHE_MAP_Pre_Js_49,USA_CHE_MAP_Pre_Js_50,USA_CHE_MAP_Asa_Js_51,USA_CHE_MAP_Asa_Js_52,USA_CHE_MAP_Asa_Js_53,USA_CHE_MAP_Asa_Js_54,USA_CHE_MAP_Asa_Js_55,USA_CHE_MAP_Pre_Js_56,USA_CHE_MAP_Pre_Js_57,USA_CHE_MAP_Asa_Js_58,USA_CHE_MAP_Asa_Js_59,USA_CHE_MAP_Pre_Js_60,USA_CHE_MAP_Asa_Js_61,USA_CHE_MAP_Pre_Js_62,USA_CHE_MAP_Asa_Js_63,USA_CHE_MAP_Asa_Js_64,USA_CHE_MAP_Asa_Js_65,USA_CHE_MAP_Asa_Js_66,USA_CHE_MAP_Asa_Js_67,USA_CHE_MAP_Pre_Js_68,USA_CHE_MAP_Asa_Js_69,USA_CHE_MAP_Pre_Js_70,USA_CHE_MAP_Pre_Js_71,USA_CHE_MAP_Asa_Js_72,USA_CHE_MAP_Asa_Js_73,USA_CHE_MAP_Asa_Js_74,USA_CHE_MAP_Asa_Js_75,USA_CHE_MAP_Asa_Js_76,USA_CHE_MAP_Asa_Js_77,USA_CHE_MAP_Asa_Js_78,USA_CHE_MAP_Asa_Js_79,USA_CHE_MAP_Asa_Js_80,USA_CHE_MAP_Pre_Js_81,USA_CHE_MAP_Asa_Js_82,USA_CHE_MAP_Asa_Js_83,USA_CHE_MAP_Pre_Js_84,USA_CHE_MAP_Asa_Js_85,USA_CHE_MAP_Asa_Js_86,USA_CHE_MAP_Pre_Js_87,USA_CHE_MAP_Pre_Js_88,USA_CHE_MAP_Asa_Js_89,USA_CHE_MAP_Asa_Js_90,USA_CHE_MAP_Asa_Js_91,USA_CHE_MAP_Asa_Js_92,USA_CHE_MAP_Asa_Js_93,USA_CHE_MAP_Pre_Js_94,USA_CHE_MAP_Pre_Js_95,USA_CHE_MAP_Pre_Js_96,USA_CHE_MAP_Asa_Js_97,USA_CHE_MAP_Asa_Js_98,USA_CHE_MAP_Asa_Js_99,USA_CHE_MAP_Asa_Js_100,USA_CHE_MAP_Pre_Js_101,USA_CHE_MAP_Asa_Js_102,USA_CHE_MAP_Asa_Js_103,USA_CHE_MAP_Pre_Js_104,USA_CHE_MAP_Pre_Js_105,USA_CHE_MAP_Pre_Js_106,USA_CHE_MAP_Pre_Js_107,USA_CHE_MAP_Asa_Js_108,USA_CHE_MAP_Asa_Js_109,USA_CHE_MAP_Asa_Js_110,USA_CHE_MAP_Asa_Js_111,USA_CHE_MAP_Asa_Js_112,USA_CHE_MAP_Asa_Js_113,USA_CHE_MAP_Asa_Js_114,USA_CHE_MAP_Asa_Js_115,USA_CHE_MAP_Pre_Js_116,USA_CHE_MAP_Pre_Js_117,USA_CHE_MAP_Asa_Js_118,USA_CHE_MAP_Pre_Js_119,USA_CHE_MAP_Pre_Js_120,USA_CHE_MAP_Asa_Js_121,USA_CHE_MAP_Asa_Js_122,USA_CHE_MAP_Asa_Js_123,USA_CHE_MAP_Asa_Js_124,USA_CHE_MAP_Pre_Js_125,USA_CHE_MAP_Pre_Js_126,USA_CHE_MAP_Asa_Js_127,USA_CHE_MAP_Asa_Js_128,USA_CHE_MAP_Asa_Js_129,USA_CHE_MAP_Asa_Js_130,USA_CHE_MAP_Asa_Js_131,USA_CHE_MAP_Asa_Js_132,USA_CHE_MAP_Asa_Js_133,USA_CHE_MAP_Asa_Js_134,USA_CHE_MAP_Asa_Js_135,USA_CHE_MAP_Asa_Js_136,USA_CHE_MAP_Asa_Js_137,USA_CHE_MAP_Asa_Js_138,USA_CHE_MAP_Asa_Js_139,USA_CHE_MAP_Asa_Js_140,USA_CHE_MAP_Asa_Js_141,USA_CHE_MAP_Asa_Js_142,USA_CHE_MAP_Asa_Js_143,USA_CHE_MAP_Asa_Js_144,USA_CHE_MAP_Asa_Js_145,USA_CHE_MAP_Asa_Js_146,USA_CHE_MAP_Asa_Js_147,USA_CHE_MAP_Pre_Js_148,USA_CHE_MAP_Asa_Js_149,USA_CHE_MAP_Pre_Js_150,USA_CHE_MAP_Asa_Js_151,USA_CHE_MAP_Asa_Js_152,USA_CHE_MAP_Asa_Js_153,USA_CHE_MAP_Asa_Js_154,USA_CHE_MAP_Asa_Js_155
2005-07-20T17:30:00Z,2005-07-20T11:22:53Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2005-07-20T18:00:00Z,2005-07-20T11:52:53Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2005-07-20T18:30:00Z,2005-07-20T12:22:53Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2005-07-20T19:00:00Z,2005-07-20T12:52:53Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2005-07-20T19:30:00Z,2005-07-20T13:22:53Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2005-07-20T20:00:00Z,2005-07-20T13:52:53Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2005-07-20T20:30:00Z,2005-07-20T14:22:53Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
